meta_model,base_combo,include_meta,accuracy,f1,precision,recall,leave_out,sampling
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998638369034594,0.8565656565656565,1.0,0.7491166077738516,02-23-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9994572654039298,0.0,0.0,0.0,02-23-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998638369034594,0.8565656565656565,1.0,0.7491166077738516,02-23-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998628780084133,0.8554095045500506,1.0,0.7473498233215548,02-23-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998638369034594,0.8565656565656565,1.0,0.7491166077738516,02-23-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9994572654039298,0.0,0.0,0.0,02-23-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998638369034594,0.8565656565656565,1.0,0.7491166077738516,02-23-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9048627290732276,0.26778263902098787,0.9942555796214333,0.1547277097133478,02-28-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.904811649986324,0.2748110767994778,0.9579905478732715,0.16041385778767805,02-28-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9046304016134401,0.26451153807054995,0.9950286806883365,0.15252945659182837,02-28-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9048643767857084,0.30741549312669436,0.8469266358228684,0.18778943666100006,02-28-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9048643767857084,0.2666700535981914,1.0,0.15384840846474002,02-28-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9048577859357854,0.5366405597997047,0.5930649166371054,0.49001993082830175,02-28-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.24110152874763965,0.21281941284949332,0.120457918086294,0.9124215956386658,02-28-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9048643767857084,0.31136396164305136,0.8363018964633522,0.19129198663462102,02-28-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9048297748236124,0.2662076150064157,1.0,0.1535406530277273,02-28-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9043420519293065,0.2596630832600074,1.0,0.14920276686792897,02-28-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9046963101126706,0.26442160952284055,1.0,0.1523535963421068,02-28-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.90484625194842,0.2669120913995557,0.9975329727678148,0.15406823377689197,02-28-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9139225000837953,0.8233410669951909,0.9751866556055937,0.7124119346774456,03-01-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.91489452466779,0.8275329743615076,0.9635610646956472,0.7251604385139011,03-01-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.7184389102355103,0.0,0.0,0.0,03-01-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9116859294109043,0.8175276230050051,0.9773302023121387,0.7026395246907567,03-01-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9137031089551193,0.8222773053873427,0.978566734376867,0.709035420927892,03-01-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.8726800149917271,0.7138278200123279,0.9721305053444513,0.5639751956105321,03-01-2018.csv,smote
